,Product Name,RAM,Display,Camera,Battery,Warranty,Price,Rating
397,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,12MP + 12MP + 12MP | 32MP Front Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1 Year Manufacturer Warranty,"₹14,999",4.2
398,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.8 cm (6.22 inch) Display,64MP + 5MP + 2MP | 8MP Front Camera,4500 mAh Lithium-ion Battery,1 Year Manufacturer Warranty,"₹17,999",4.2
399,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera,5000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4.2
400,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.7 cm (5 inch) HD Display,13MP Rear Camera,2000 mAh Li-Ion Battery,1 Year Manufacturer Warranty,"₹12,999",4.2
401,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,1200 mAh Battery,1 Year Manufacturer Warranty,"₹12,499",4.3
402,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,2600 mAh Li-Ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹17,999",4.3
403,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Quad HD+ Display,12MP Rear Camera | 2.1MP Front Camera,5000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,499",4.2
404,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP Rear Camera | 8MP Front Camera,4500 mAh Lithium Ion Battery,Brand Warranty of 1 Year,"₹14,999",4.2
405,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.97 cm (5.5 inch) HD Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹12,999",4.3
406,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Display,64MP + 5MP + 2MP | 8MP Front Camera,4100 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,499",5
407,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.7 cm (5 inch) Display,12MP + 12MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Manufacturer Warranty,"₹11,333",5
